               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  86,            0.041277,           0.0027935,                   0,             0.79642,             0.56418,             0.66178,             0.39379,            0.020666,           0.0023717,                   0,           0.0054374,           0.0054374,           0.0054374
                  87,            0.041598,           0.0028442,                   0,             0.79549,             0.56871,              0.6641,             0.39367,            0.020675,           0.0023721,                   0,           0.0054131,           0.0054131,           0.0054131
                  88,            0.040941,           0.0028471,                   0,             0.79884,             0.56733,             0.66474,             0.39287,            0.020689,           0.0023715,                   0,           0.0053886,           0.0053886,           0.0053886
                  89,            0.040277,           0.0028292,                   0,             0.79549,             0.56871,             0.66513,             0.39279,            0.020689,           0.0023694,                   0,           0.0053639,           0.0053639,           0.0053639
                  90,            0.040028,           0.0027861,                   0,             0.78948,             0.56871,             0.66575,             0.39379,             0.02069,           0.0023663,                   0,            0.005339,            0.005339,            0.005339
                  91,            0.040596,            0.002784,                   0,             0.78835,             0.57007,             0.66455,             0.39489,            0.020681,            0.002362,                   0,           0.0053139,           0.0053139,           0.0053139
                  92,            0.039927,           0.0027637,                   0,             0.79716,             0.56735,             0.66574,             0.39584,            0.020665,           0.0023606,                   0,           0.0052886,           0.0052886,           0.0052886
                  93,            0.038936,           0.0027453,                   0,             0.79978,             0.56735,             0.66615,             0.39654,            0.020651,             0.00236,                   0,           0.0052631,           0.0052631,           0.0052631
                  94,            0.041441,           0.0029024,                   0,             0.80413,             0.56735,             0.66734,             0.39763,            0.020644,           0.0023582,                   0,           0.0052374,           0.0052374,           0.0052374
                  95,            0.039866,           0.0028585,                   0,             0.75555,             0.59728,             0.66898,             0.39739,            0.020634,           0.0023555,                   0,           0.0052116,           0.0052116,           0.0052116
                  96,            0.040164,           0.0027995,                   0,             0.75605,             0.59728,             0.66853,             0.39783,            0.020619,           0.0023538,                   0,           0.0051855,           0.0051855,           0.0051855
                  97,            0.040183,           0.0027671,                   0,             0.81655,             0.56318,             0.66919,             0.39925,            0.020608,           0.0023531,                   0,           0.0051593,           0.0051593,           0.0051593
                  98,            0.040322,           0.0027196,                   0,             0.74407,             0.60521,             0.66781,             0.39963,            0.020593,           0.0023507,                   0,            0.005133,            0.005133,            0.005133
                  99,            0.039953,           0.0027844,                   0,             0.74554,             0.60193,              0.6655,             0.40009,            0.020578,            0.002349,                   0,           0.0051064,           0.0051064,           0.0051064
                 100,            0.039586,           0.0027393,                   0,             0.74025,             0.60544,             0.66694,             0.39995,            0.020571,           0.0023481,                   0,           0.0050797,           0.0050797,           0.0050797
                 101,            0.039165,            0.002675,                   0,             0.75948,             0.59728,             0.66819,             0.40027,            0.020558,           0.0023469,                   0,           0.0050528,           0.0050528,           0.0050528
                 102,            0.040424,           0.0027771,                   0,             0.78953,             0.58182,             0.66903,             0.40032,            0.020542,           0.0023456,                   0,           0.0050257,           0.0050257,           0.0050257
                 103,             0.04047,           0.0027862,                   0,             0.77928,             0.58602,             0.66877,             0.40036,            0.020522,            0.002343,                   0,           0.0049985,           0.0049985,           0.0049985
                 104,            0.039284,           0.0027516,                   0,             0.79048,             0.58639,             0.67001,             0.40224,            0.020507,            0.002342,                   0,           0.0049711,           0.0049711,           0.0049711
                 105,            0.039831,           0.0026989,                   0,             0.78627,             0.58639,             0.67068,             0.40306,            0.020495,           0.0023394,                   0,           0.0049436,           0.0049436,           0.0049436
                 106,            0.039312,           0.0027569,                   0,             0.77575,             0.59301,             0.66754,             0.40389,            0.020479,           0.0023403,                   0,           0.0049159,           0.0049159,           0.0049159
                 107,            0.039972,           0.0027022,                   0,             0.77235,             0.59184,             0.66717,             0.40496,            0.020472,           0.0023388,                   0,           0.0048881,           0.0048881,           0.0048881
