   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.72318,             0.57458,              0.6182,             0.28316,            0.042019,           0.0031216,                   0,             0.00866,             0.10825,                0.98,             0.00072,              2.9169,             0.84083,             0.10555,             0.04141,             0.60633,             0.92642,              1.0069,               1.106,                 0.2,              3.3702,                   0,              0.0153,             0.79627,             0.44858,                   0,             0.10495,             0.66257,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.2189
             0.78096,             0.59091,              0.6652,             0.35776,            0.048036,           0.0038909,                   0,             0.00944,             0.11433,             0.93141,             0.00082,              3.7067,             0.84083,             0.10206,              0.0526,             0.59277,             0.82768,              1.1053,              1.2918,                 0.2,              4.1574,                   0,             0.01431,             0.69126,             0.42886,                   0,             0.08871,             0.48076,                   0,                   0,                   0,                 0.5,             0.96987,                   0,                   0,              2.6971
              0.7513,             0.60411,              0.6604,             0.33358,            0.053321,           0.0033114,                   0,             0.00944,             0.10313,             0.90887,             0.00067,              2.9808,             0.84083,              0.1024,             0.05505,             0.62899,             0.92642,              1.0395,              1.1036,                 0.2,              4.2711,                   0,             0.01401,             0.79627,             0.43949,                   0,             0.09738,             0.54843,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.8354
             0.82797,             0.52493,             0.63318,             0.32763,            0.036978,           0.0039918,                   0,             0.01017,             0.10825,             0.94648,             0.00067,              2.9122,             0.84083,             0.07246,             0.03757,             0.63504,              1.0626,              1.2136,              1.1036,                 0.2,              4.1444,                   0,             0.01295,             0.86677,             0.45767,                   0,             0.08264,              0.6111,                   0,                   0,                   0,                 0.5,             0.90193,                   0,                   0,               2.634
             0.76608,              0.6393,             0.68706,             0.35211,            0.049995,           0.0039772,                   0,             0.00944,             0.10433,             0.91551,             0.00058,              3.4305,                0.95,             0.12493,             0.05305,             0.68853,             0.92642,              1.1838,              1.1036,                 0.2,              4.7697,                   0,             0.01415,             0.79627,             0.40626,                   0,              0.0913,             0.41758,                   0,                   0,                   0,                 0.5,             0.96987,                   0,                   0,              2.2859
             0.76691,             0.59531,             0.66574,             0.36391,            0.043164,           0.0034368,                   0,              0.0099,             0.11696,             0.83443,             0.00065,               2.827,             0.93984,              0.1024,             0.05185,             0.73934,              1.0042,              1.1081,              1.3498,                 0.2,              2.9548,                   0,             0.01431,                 0.9,             0.43317,                   0,              0.0902,             0.40565,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,               2.933
             0.72986,             0.61437,             0.66673,             0.36867,            0.049835,            0.004287,                   0,             0.00865,             0.11519,             0.90962,             0.00077,              4.0094,             0.87547,             0.10741,             0.05513,             0.59277,             0.79631,              1.1053,              1.3939,                 0.2,              4.1574,                   0,              0.0145,             0.71539,             0.44544,                   0,             0.09088,             0.42282,                   0,                   0,                   0,                 0.5,             0.89271,                   0,                   0,              2.3493
             0.75128,             0.61584,             0.66667,             0.34027,            0.050546,           0.0038577,                   0,             0.00953,             0.11418,             0.92952,             0.00083,              3.7059,             0.83539,             0.10299,              0.0526,             0.59517,             0.83758,              1.1125,               1.296,                 0.2,              4.1574,                   0,             0.01426,             0.68946,             0.42603,                   0,             0.08931,             0.47813,                   0,                   0,                   0,                 0.5,             0.96096,                   0,                   0,              2.7319
              0.7338,             0.62245,             0.66227,             0.34979,            0.043616,           0.0039697,                   0,             0.01002,             0.11579,             0.93298,             0.00082,               3.737,             0.82823,             0.11081,             0.04567,             0.63701,             0.81107,              1.1032,              1.3739,                 0.2,              4.0167,                   0,             0.01464,             0.69171,             0.42886,                   0,             0.09102,             0.50241,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.8913
             0.74499,              0.6129,               0.673,             0.35834,            0.047201,           0.0039238,                   0,             0.00945,             0.11413,             0.93141,             0.00083,              3.7306,             0.84477,             0.10108,             0.05073,             0.58947,             0.82753,               1.107,              1.2918,                 0.2,              4.1055,                   0,             0.01438,             0.67811,              0.4307,                   0,             0.08773,             0.48386,                   0,                   0,                   0,                 0.5,             0.98015,                   0,                   0,              2.5667
