   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.67782,             0.50204,             0.55435,             0.29147,            0.027676,           0.0025623,                   0,             0.00638,             0.07387,              0.8627,             0.00027,              2.7579,             0.75475,             0.12955,             0.05003,             0.60308,              1.0697,              1.1633,              1.1767,                 0.2,              5.2217,                   0,             0.01588,             0.71656,              0.3786,                   0,             0.05407,             0.41911,                   0,                   0,                   0,                 0.5,             0.95719,                   0,                   0,              2.0598
             0.62213,             0.51973,             0.51522,             0.26237,            0.023439,           0.0022583,                   0,             0.00653,             0.08513,             0.83339,             0.00022,              2.6204,             0.84805,             0.13544,             0.04169,             0.67746,              1.0899,             0.95413,              1.1644,                 0.2,              4.8741,                   0,             0.01271,             0.88639,             0.38027,                   0,             0.05332,             0.38368,                   0,                   0,                   0,                 0.5,             0.88205,                   0,                   0,              2.1212
              0.6439,              0.5314,             0.55813,             0.29479,             0.02172,           0.0022616,                   0,             0.00555,             0.09509,             0.84911,             0.00021,              3.0847,              0.9009,             0.12766,             0.03953,             0.55762,              1.1142,              1.0806,              1.1044,                 0.2,               5.075,                   0,             0.01508,             0.83745,             0.38194,                   0,             0.05692,             0.42756,                   0,                   0,                   0,                 0.5,             0.83549,                   0,                   0,               2.139
             0.63443,             0.54558,             0.56473,             0.28488,            0.020687,           0.0022572,                   0,             0.00654,             0.07295,             0.76901,              0.0003,              2.9604,             0.80076,             0.10846,             0.03679,             0.44126,              1.0675,              1.0687,              1.1094,                 0.2,               6.002,                   0,             0.01659,             0.50855,             0.26087,                   0,             0.04091,             0.42216,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   2
             0.69772,             0.51817,              0.5607,             0.28998,            0.020892,           0.0021815,                   0,             0.00647,             0.07341,             0.76738,              0.0003,              2.9384,             0.80439,             0.10846,             0.03706,             0.43891,              1.0679,              1.0654,              1.0976,                 0.2,              5.9573,                   0,             0.01648,             0.51107,             0.26281,                   0,             0.04162,             0.42582,                   0,                   0,                   0,                 0.5,             0.99773,                   0,                   0,                   2
             0.72029,             0.48707,             0.54098,             0.26448,            0.017284,           0.0022948,                   0,             0.00777,             0.08242,             0.87344,             0.00067,              3.1567,             0.69891,             0.10527,             0.03277,             0.51971,             0.98652,              1.1304,              1.3902,                 0.2,              2.9158,                   0,             0.01946,             0.65875,             0.52175,                   0,             0.08954,             0.69156,                   0,                   0,                   0,                 0.5,             0.92915,                   0,                   0,                   2
             0.67214,             0.48811,             0.52596,             0.25737,            0.019429,           0.0025487,                   0,             0.00837,              0.0839,             0.87718,             0.00064,              2.7391,             0.58637,             0.09596,             0.03646,             0.40552,              0.8251,              1.3584,              1.2989,                 0.2,               2.715,                   0,             0.01909,             0.71463,             0.53406,                   0,             0.09223,             0.60769,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   2
             0.63597,             0.52789,             0.54804,             0.24693,            0.013028,           0.0022635,                   0,             0.00859,              0.0839,             0.81465,             0.00085,              3.9134,             0.76394,             0.11024,             0.02823,             0.31658,               1.025,              1.5562,              1.2097,                 0.2,              2.2227,                   0,             0.01827,                 0.9,             0.65752,                   0,             0.07857,             0.61911,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.5092
             0.73006,             0.46395,              0.5234,             0.27389,            0.020111,           0.0026652,                   0,             0.00663,              0.0839,             0.86328,             0.00064,              3.1036,             0.59977,             0.11329,             0.03889,             0.36843,             0.87954,              1.3499,              1.2218,                 0.2,              2.8319,                   0,              0.0204,             0.68154,             0.49799,                   0,             0.09319,             0.67448,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.1423
             0.70087,             0.46667,             0.51219,             0.26409,            0.018411,           0.0024978,                   0,             0.00805,             0.09128,             0.84909,             0.00064,              3.1036,             0.61751,              0.1062,             0.03565,             0.35886,             0.93466,              1.2798,              1.3016,                 0.2,              2.6244,                   0,             0.01946,             0.80339,              0.5802,                   0,             0.09223,             0.66015,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.2725
             0.63966,             0.46939,             0.49609,             0.24164,             0.02101,           0.0028936,                   0,             0.00724,             0.10341,             0.90348,             0.00064,              3.1187,             0.61751,             0.09995,             0.03826,             0.39955,             0.92291,              1.4152,              1.2989,                 0.2,               2.967,                   0,             0.02161,             0.58325,             0.50621,                   0,             0.09801,             0.69156,                   0,                   0,                   0,                 0.5,             0.96521,                   0,                   0,                   2
